Course ID,Days,Time,Instructor,RMP,Campus,Credits
2004-LEC (42577),MoWe,1420-1625,Ember Niedbalski,4.4,Mesa,4
2001-LEC (42569),MoWe,0835-1040,David Rubinstein,4.3,Mesa,4
2005-LEC (42545),TuTh,1420-1620,Shane Briggs,4.2,Mesa,4
2006-LEC (42561),TuTh,1835-2035,Francisco Marquez,4.1,Mesa,4
2002-LEC (42612),TuTh,0935-1135,James Harter,3.7,Mesa,4
2003-LEC (44537),MoWe,1110-1315,Russell La Puma,2.9,Mesa,4
